ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
POP200_GEN200_MUT0.0010_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9961,2348.00,160.00,0.33
POP200_GEN500_MUT0.0010_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9965,5408.00,360.00,0.33
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9965,11844.00,693.00,0.33
