ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
POP150_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9956,7566.00,768.00,0.33
POP500_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9990,30026.00,277.00,0.78
