ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
POP200_GEN1000_MUT0.0100_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9965,13879.00,693.00,0.33
POP200_GEN1000_MUT0.0300_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9965,13565.00,693.00,0.33
