ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mbasic_Ctwopoint_Stournament,0.9850,14062.00,1000.00,0.00
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9965,12745.00,693.00,0.33
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Madaptive_Ctwopoint_Stournament,0.9961,21792.00,779.00,0.33
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mhybrid_Ctwopoint_Stournament,0.9951,13384.00,725.00,0.33
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mrandom_Ctwopoint_Stournament,0.9905,15275.00,1000.00,0.00
