ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mbasic_Ctwopoint_Stournament,0.9748,188295.00,1000.00,0.00
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mconstraint_Ctwopoint_Stournament,0.9909,149360.00,1000.00,0.00
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Madaptive_Ctwopoint_Stournament,0.9900,172935.00,1000.00,0.00
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mhybrid_Ctwopoint_Stournament,0.9902,58924.00,1000.00,0.00
POP200_GEN1000_MUT0.0010_CROSS0.850_ELITE5_Mrandom_Ctwopoint_Stournament,0.9823,56062.00,1000.00,0.00
