ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
M:hybrid_C:twopoint_S:tournament,0.9900,11927.27,500.00,0.00
M:hybrid_C:twopoint_S:roulette,0.9640,28145.00,500.00,0.00
M:hybrid_C:twopoint_S:stochastic,0.9639,15777.77,500.00,0.00
M:hybrid_C:twopoint_S:rank,0.9725,18061.27,500.00,0.00
M:hybrid_C:twopoint_S:truncation,0.9848,41536.83,500.00,0.00
M:hybrid_C:singleblock_S:tournament,0.9880,13242.27,500.00,0.00
M:hybrid_C:singleblock_S:roulette,0.9675,8458.43,500.00,0.00
M:hybrid_C:singleblock_S:stochastic,0.9688,3559.33,500.00,0.00
M:hybrid_C:singleblock_S:rank,0.9735,4522.23,500.00,0.00
M:hybrid_C:singleblock_S:truncation,0.9832,11284.20,500.00,0.00
M:hybrid_C:multiblock_S:tournament,0.9875,3877.00,500.00,0.00
M:hybrid_C:multiblock_S:roulette,0.9645,8263.60,500.00,0.00
M:hybrid_C:multiblock_S:stochastic,0.9649,3505.93,500.00,0.00
M:hybrid_C:multiblock_S:rank,0.9747,4550.40,500.00,0.00
M:hybrid_C:multiblock_S:truncation,0.9845,11653.70,500.00,0.00
M:random_C:uniform_S:tournament,0.9795,3485.47,500.00,0.00
M:random_C:uniform_S:roulette,0.9444,7911.57,500.00,0.00
M:random_C:uniform_S:stochastic,0.9434,3148.60,500.00,0.00
M:random_C:uniform_S:rank,0.9524,4305.60,500.00,0.00
M:random_C:uniform_S:truncation,0.9617,10988.20,500.00,0.00
M:random_C:onepoint_S:tournament,0.9855,3505.37,500.00,0.00
M:random_C:onepoint_S:roulette,0.9554,7796.23,500.00,0.00
M:random_C:onepoint_S:stochastic,0.9518,7935.27,500.00,0.00
M:random_C:onepoint_S:rank,0.9642,16194.77,500.00,0.00
M:random_C:onepoint_S:truncation,0.9780,23232.90,500.00,0.00
M:random_C:twopoint_S:tournament,0.9844,16034.80,500.00,0.00
M:random_C:twopoint_S:roulette,0.9466,33300.13,500.00,0.00
M:random_C:twopoint_S:stochastic,0.9488,14110.67,500.00,0.00
M:random_C:twopoint_S:rank,0.9592,16228.93,500.00,0.00
M:random_C:twopoint_S:truncation,0.9753,48489.07,500.00,0.00
M:random_C:singleblock_S:tournament,0.9829,13248.10,500.00,0.00
M:random_C:singleblock_S:roulette,0.9554,8001.13,500.00,0.00
M:random_C:singleblock_S:stochastic,0.9563,3093.83,500.00,0.00
M:random_C:singleblock_S:rank,0.9644,4176.47,500.00,0.00
M:random_C:singleblock_S:truncation,0.9759,10856.13,500.00,0.00
M:random_C:multiblock_S:tournament,0.9855,3361.37,500.00,0.00
M:random_C:multiblock_S:roulette,0.9514,7659.97,500.00,0.00
M:random_C:multiblock_S:stochastic,0.9524,3048.93,500.00,0.00
M:random_C:multiblock_S:rank,0.9608,4108.40,500.00,0.00
M:random_C:multiblock_S:truncation,0.9739,10795.87,500.00,0.00
